ITEM	X	Y
350	0.698	540.173767
351	0.7	539.925537
352	0.702	540.705078
353	0.704	540.701294
354	0.706	540.964111
355	0.708	540.182983
356	0.71	541.229614
357	0.712	540.699585
358	0.714	540.955566
359	0.716	540.691162
360	0.718	541.214783
361	0.72	540.957336
362	0.722	540.957642
363	0.724	540.691284
364	0.726	540.697266
365	0.728	541.74231
366	0.73	541.475403
367	0.732	541.480591
368	0.734	541.728455
369	0.736	541.723999
370	0.738	541.216431
371	0.74	541.204834
372	0.742	541.474121
373	0.744	541.208862
374	0.746	540.695129
375	0.748	540.695129
376	0.75	540.432312
377	0.752	539.914307
378	0.754	540.169434
379	0.756	540.160339
380	0.758	539.905823
381	0.76	539.904785
382	0.762	540.693726
383	0.764	541.464294
384	0.766	541.993042
385	0.768	540.681824
386	0.77	540.941284
387	0.772	541.472168
388	0.774	542.244751
389	0.776	540.947388
390	0.778	540.949463
391	0.78	541.454773
392	0.782	540.939453
393	0.784	541.987061
394	0.786	541.708496
395	0.788	541.985657
396	0.79	542.240845
397	0.792	541.456055
398	0.794	541.722168
399	0.796	541.1922
400	0.798	541.199524
401	0.8	541.45636
402	0.802	541.45105
403	0.804	541.456177
404	0.806	541.200317
405	0.808	541.449707
406	0.81	540.932678
407	0.812	541.194214
408	0.814	540.93689
409	0.816	540.929199
410	0.818	540.408081
411	0.82	541.194763
412	0.822	540.153809
413	0.824	540.405457
414	0.826	540.147949
415	0.828	540.413208
416	0.83	540.936279
417	0.832	540.153809
418	0.834	540.92572
419	0.836	540.923584
420	0.838	540.414185
421	0.84	539.883606
422	0.842	539.888916
423	0.844	539.627441
424	0.846	540.151733
425	0.848	539.627808
426	0.85	539.889526
427	0.852	540.147888
428	0.854	539.885376
429	0.856	539.885132
430	0.858	539.62262
431	0.86	539.373291
432	0.862	539.883057
433	0.864	539.357544
434	0.866	540.139038
435	0.868	540.14209
436	0.87	539.624268
437	0.872	540.153076
438	0.874	539.878662
439	0.876	539.104248
440	0.878	539.096313
441	0.88	539.367065
442	0.882	539.366333
443	0.884	539.618652
444	0.886	540.158813
445	0.888	539.105652
446	0.89	539.112244
447	0.892	540.154968
448	0.894	539.630615
449	0.896	540.148438
450	0.898	539.890137
451	0.9	539.622864
452	0.902	539.372437
453	0.904	539.627808
454	0.906	539.617432
455	0.908	539.355347
456	0.91	539.362793
457	0.912	540.144348
458	0.914	539.874512
459	0.916	540.670898
460	0.918	540.140869
461	0.92	539.878662
462	0.922	540.666138
463	0.924	540.141235
464	0.926	541.185059
465	0.928	540.411987
466	0.93	540.661499
467	0.932	539.894531
468	0.934	540.404297
469	0.936	540.403809
470	0.938	540.921631
471	0.94	540.667175
472	0.942	540.150635
473	0.944	540.406372
474	0.946	539.890991
475	0.948	540.150391
476	0.95	540.402527
477	0.952	540.408203
478	0.954	540.153931
479	0.956	540.145386
480	0.958	540.155029
481	0.96	540.146484
482	0.962	539.899292
483	0.964	539.636597
484	0.966	540.409363
485	0.968	540.678101
486	0.97	540.407104
487	0.972	540.402588
488	0.974	540.67395
489	0.976	540.670532
490	0.978	540.920776
491	0.98	541.189087
492	0.982	541.196411
493	0.984	540.926941
494	0.986	541.451294
495	0.988	541.187317
496	0.99	541.713013
497	0.992	541.449524
498	0.994	541.449463
499	0.996	541.199463
500	0.998	541.97168
501	1	541.719971
502	1.002	541.976746
503	1.004	541.977295
504	1.006	541.44751
505	1.008	541.205566
506	1.01	541.723877
507	1.012	541.461975
508	1.014	541.463074
509	1.016	541.45929
510	1.018	540.943359
511	1.02	541.195557
512	1.022	541.4599
513	1.024	540.942261
514	1.026	540.695435
515	1.028	541.188843
516	1.03	540.948853
517	1.032	540.156006
518	1.034	540.166626
519	1.036	540.170227
520	1.038	539.910889
521	1.04	540.168457
522	1.042	539.65686
523	1.044	540.17572
524	1.046	539.387512
525	1.048	539.130615
526	1.05	539.390259
527	1.052	539.656372
528	1.054	540.175903
529	1.056	540.443604
530	1.058	539.389526
531	1.06	540.17981
532	1.062	539.397583
533	1.064	539.6604
534	1.066	538.356567
535	1.068	538.361206
536	1.07	539.127075
537	1.072	539.399536
538	1.074	539.145569
539	1.076	538.889282
540	1.078	539.135254
541	1.08	538.877808
542	1.082	539.407898
543	1.084	539.153076
544	1.086	539.145874
545	1.088	538.616333
546	1.09	538.87915
547	1.092	538.627808
548	1.094	538.622559
549	1.096	539.911621
550	1.098	539.920166
551	1.1	539.391357
552	1.102	540.180054
553	1.104	538.352722
554	1.106	538.875061
555	1.108	539.141968
556	1.11	538.883972
557	1.112	539.142944
558	1.114	539.130859
559	1.116	539.4021
560	1.118	539.126343
561	1.12	539.412476
562	1.122	539.137268
563	1.124	539.661011
564	1.126	539.154114
565	1.128	539.925903
566	1.13	539.662415
567	1.132	540.17981
568	1.134	539.661987
569	1.136	540.448975
570	1.138	539.660156
571	1.14	539.149109
572	1.142	539.925171
573	1.144	539.934692
574	1.146	540.19397
575	1.148	539.660522
576	1.15	539.141235
577	1.152	540.443787
578	1.154	539.156372
579	1.156	539.674744
580	1.158	539.413147
581	1.16	539.157104
582	1.162	540.4552
583	1.164	540.193726
584	1.166	540.204224
585	1.168	540.970764
586	1.17	540.707886
587	1.172	540.452637
588	1.174	539.930908
589	1.176	540.452637
590	1.178	540.202515
591	1.18	539.680176
592	1.182	539.946411
593	1.184	539.686646
594	1.186	539.947021
595	1.188	541.239746
596	1.19	540.453918
597	1.192	540.726318
598	1.194	540.460388
599	1.196	540.714111
600	1.198	541.511108
601	1.2	541.239014
602	1.202	541.245544
603	1.204	540.462952
604	1.206	540.977661
605	1.208	540.454529
606	1.21	540.972656
607	1.212	540.197693
608	1.214	540.973145
609	1.216	541.500488
610	1.218	541.24646
611	1.22	540.981567
612	1.222	540.203918
613	1.224	540.454102
614	1.226	540.720093
615	1.228	541.237305
616	1.23	540.729248
617	1.232	540.726196
618	1.234	541.502075
619	1.236	541.245728
620	1.238	540.991211
621	1.24	541.776733
622	1.242	541.77533
623	1.244	540.479065
624	1.246	540.994629
625	1.248	540.988464
626	1.25	541.256348
627	1.252	540.486389
628	1.254	540.490845
629	1.256	539.959961
630	1.258	539.958374
631	1.26	540.218872
632	1.262	540.213623
633	1.264	539.956665
634	1.266	539.708862
635	1.268	539.186401
636	1.27	539.967163
637	1.272	539.703674
638	1.274	538.66864
639	1.276	538.402954
640	1.278	538.924194
641	1.28	539.192871
642	1.282	539.19165
643	1.284	538.142578
644	1.286	539.711487
645	1.288	539.7005
646	1.29	539.440063
647	1.292	539.705383
648	1.294	539.447144
649	1.296	539.434204
650	1.298	539.180664
651	1.3	539.452393
652	1.302	538.918823
653	1.304	539.454651
654	1.306	539.959106
655	1.308	539.441895
656	1.31	539.951965
657	1.312	539.4375
658	1.314	539.444519
659	1.316	539.17981
660	1.318	540.228638
661	1.32	539.171692
662	1.322	539.42688
663	1.324	540.219482
664	1.326	540.479858
665	1.328	540.73761
666	1.33	540.733521
667	1.332	541.26062
668	1.334	540.743164
669	1.336	540.738159
670	1.338	540.734741
671	1.34	540.473511
672	1.342	540.216309
673	1.344	540.74231
674	1.346	540.747009
675	1.348	540.749756
676	1.35	539.975952
677	1.352	540.486206
678	1.354	539.968872
679	1.356	540.218262
680	1.358	541.527771
681	1.36	542.049072
682	1.362	541.279846
683	1.364	541.28125
684	1.366	540.743164
685	1.368	540.490845
686	1.37	540.745239
687	1.372	540.220947
688	1.374	540.738525
689	1.376	541.260498
690	1.378	540.74054
691	1.38	540.223145
692	1.382	539.959351
693	1.384	539.952881
694	1.386	540.729004
695	1.388	540.464417
696	1.39	540.215088
697	1.392	540.464417
698	1.394	540.466125
699	1.396	540.728516
700	1.398	540.994995
701	1.4	540.208618
702	1.402	540.735229
703	1.404	540.478882
704	1.406	540.202393
705	1.408	540.998779
706	1.41	541.518677
707	1.412	540.194946
708	1.414	540.737305
709	1.416	539.955811
710	1.418	539.435913
711	1.42	540.728394
712	1.422	539.949829
713	1.424	540.213135
714	1.426	540.2099
715	1.428	540.207336
716	1.43	540.740601
717	1.432	541.004028
718	1.434	540.73938
719	1.436	540.999023
720	1.438	540.22583
721	1.44	540.995239
722	1.442	540.73761
723	1.444	540.473877
724	1.446	540.74054
725	1.448	540.471436
726	1.45	541.252563
727	1.452	540.472107
728	1.454	540.479553
729	1.456	541.005798
730	1.458	539.69458
731	1.46	540.215576
732	1.462	540.484436
733	1.464	540.992554
734	1.466	541.516846
735	1.468	540.998169
736	1.47	541.792969
737	1.472	540.218689
738	1.474	540.991516
739	1.476	540.991272
740	1.478	541.255615
741	1.48	540.482666
742	1.482	540.997192
743	1.484	541.521973
744	1.486	541.520203
745	1.488	542.036194
746	1.49	541.774658
747	1.492	541.256104
748	1.494	541.792969
749	1.496	541.26532
750	1.498	541.516113
751	1.5	541.264648
752	1.502	541.522583
753	1.504	542.30896
754	1.506	541.013916
755	1.508	541.533325
756	1.51	540.750854
757	1.512	540.749023
758	1.514	540.251343
759	1.516	540.489502
760	1.518	539.461426
761	1.52	540.495728
762	1.522	539.710938
763	1.524	540.770874
764	1.526	540.488647
765	1.528	540.496765
766	1.53	541.280029
767	1.532	539.97229
768	1.534	540.248047
769	1.536	539.710266
770	1.538	538.921082
771	1.54	539.980835
772	1.542	539.976196
773	1.544	540.769043
774	1.546	539.457031
775	1.548	539.705017
776	1.55	539.721863
777	1.552	539.200073
778	1.554	539.454346
779	1.556	539.715332
780	1.558	540.235046
781	1.56	540.502747
782	1.562	539.703003
783	1.564	540.230469
784	1.566	540.486877
785	1.568	540.492126
786	1.57	539.704834
787	1.572	540.487488
788	1.574	540.742432
789	1.576	540.749146
790	1.578	540.741455
791	1.58	539.968262
792	1.582	539.946533
793	1.584	539.955566
794	1.586	541.008179
795	1.588	540.742065
796	1.59	539.951782
797	1.592	540.745361
798	1.594	540.741455
799	1.596	540.747681
800	1.598	540.734253
801	1.6	539.700195
802	1.602	539.958618
803	1.604	540.484924
804	1.606	540.731567
805	1.608	539.689941
806	1.61	540.99176
807	1.612	540.466675
808	1.614	539.693726
809	1.616	539.69397
810	1.618	539.423767
811	1.62	539.940063
812	1.622	540.205505
813	1.624	539.431152
814	1.626	539.683411
815	1.628	540.195801
816	1.63	539.680908
817	1.632	539.676025
818	1.634	539.676025
819	1.636	539.406494
820	1.638	539.931519
821	1.64	539.931946
822	1.642	539.918579
823	1.644	540.184631
824	1.646	539.653076
825	1.648	539.656982
826	1.65	539.396118
827	1.652	539.913574
828	1.654	539.910828
829	1.656	539.133911
830	1.658	540.173706
831	1.66	540.421814
832	1.662	539.118347
833	1.664	539.375488
834	1.666	540.4198
835	1.668	539.122375
836	1.67	539.895996
837	1.672	539.37561
838	1.674	540.157349
839	1.676	540.164063
840	1.678	540.158081
841	1.68	539.893921
842	1.682	539.629883
843	1.684	539.629333
844	1.686	539.640381
845	1.688	539.638184
846	1.69	539.890137
847	1.692	540.155518
848	1.694	539.635193
849	1.696	540.154175
850	1.698	539.897156
851	1.7	539.880981
852	1.702	539.879517
853	1.704	540.409424
854	1.706	540.411133
855	1.708	540.399719
856	1.71	540.397827
857	1.712	540.402588
858	1.714	540.402954
859	1.716	541.695068
860	1.718	540.908569
861	1.72	541.686768
862	1.722	541.437134
863	1.724	541.943359
864	1.726	541.433228
865	1.728	541.688293
866	1.73	541.957397
867	1.732	542.214355
868	1.734	541.697021
869	1.736	541.434448
870	1.738	541.69342
871	1.74	541.957397
872	1.742	541.177795
873	1.744	540.915161
874	1.746	541.955566
875	1.748	540.925049
876	1.75	541.441528
877	1.752	540.659241
878	1.754	540.390198
879	1.756	540.395142
880	1.758	540.650269
881	1.76	540.394775
882	1.762	539.874756
883	1.764	540.128113
884	1.766	540.394775
885	1.768	538.818115
886	1.77	539.339355
887	1.772	539.091309
888	1.774	539.343994
889	1.776	540.135132
890	1.778	539.865234
891	1.78	539.332886
892	1.782	539.865845
893	1.784	540.386292
894	1.786	539.083496
895	1.788	539.865234
896	1.79	540.380981
897	1.792	539.853638
898	1.794	539.863159
899	1.796	540.125977
900	1.798	540.130859
901	1.8	539.858643
902	1.802	540.633423
903	1.804	540.127014
904	1.806	540.125977
905	1.808	540.37854
906	1.81	540.632874
907	1.812	539.865234
908	1.814	540.893433
909	1.816	540.644958
910	1.818	540.114746
911	1.82	540.900391
912	1.822	540.129822
913	1.824	539.857666
914	1.826	539.592163
915	1.828	540.643127
916	1.83	540.390015
917	1.832	540.121948
918	1.834	539.859863
919	1.836	540.38147
920	1.838	539.855103
921	1.84	540.642456
922	1.842	539.340515
923	1.844	540.116028
924	1.846	540.37915
925	1.848	540.114014
926	1.85	540.124512
927	1.852	539.594116
928	1.854	539.851685
929	1.856	540.379639
930	1.858	540.112183
931	1.86	539.8573
932	1.862	539.33606
933	1.864	539.84375
934	1.866	539.070618
935	1.868	540.371826
936	1.87	539.591797
937	1.872	539.849731
938	1.874	539.858826
939	1.876	539.849609
940	1.878	539.327515
941	1.88	539.331299
942	1.882	539.85199
943	1.884	539.327271
944	1.886	538.81665
945	1.888	539.326355
946	1.89	539.594849
947	1.892	540.373047
948	1.894	539.598633
949	1.896	539.582764
950	1.898	540.095215
951	1.9	540.362671
952	1.902	540.355591
953	1.904	540.099854
954	1.906	540.883667
955	1.908	540.10022
956	1.91	540.884827
957	1.912	540.624268
958	1.914	539.845337
959	1.916	540.095215
960	1.918	540.881836
961	1.92	541.400146
962	1.922	541.918091
963	1.924	541.140015
964	1.926	541.403687
965	1.928	541.401123
966	1.93	541.64917
967	1.932	540.87146
968	1.934	541.137573
969	1.936	540.870178
970	1.938	540.876831
971	1.94	541.389526
972	1.942	540.876038
973	1.944	541.131714
974	1.946	540.611938
975	1.948	540.601379
976	1.95	540.613037
977	1.952	540.609192
978	1.954	541.390564
979	1.956	540.349121
980	1.958	540.084167
981	1.96	540.350159
982	1.962	540.332275
983	1.964	540.343872
984	1.966	540.333618
985	1.968	540.603882
986	1.97	540.34137
987	1.972	540.868164
988	1.974	541.120422
989	1.976	540.594177
990	1.978	540.594727
991	1.98	540.591919
992	1.982	541.389954
993	1.984	541.121338
994	1.986	541.381409
995	1.988	540.859253
996	1.99	541.121338
997	1.992	540.87085
998	1.994	540.857605
999	1.996	540.354248
1000	1.998	540.612305
1001	2	540.34137
1002	2.002	540.855835
1003	2.004	540.340454
1004	2.006	540.61438
1005	2.008	540.343079
1006	2.01	540.07959
1007	2.012	540.332153
1008	2.014	540.864258
1009	2.016	540.339722
1010	2.018	540.866272
1011	2.02	540.07959
1012	2.022	539.827026
1013	2.024	539.55542
1014	2.026	539.818542
1015	2.028	539.56311
1016	2.03	539.56543
1017	2.032	539.563721
1018	2.034	539.832947
1019	2.036	539.818848
1020	2.038	539.55188
1021	2.04	539.300232
1022	2.042	539.296997
1023	2.044	539.555176
1024	2.046	539.0354
1025	2.048	540.067932
1026	2.05	539.805176
1027	2.052	539.811401
1028	2.054	539.809631
1029	2.056	539.815308
1030	2.058	539.553711
1031	2.06	539.547974
1032	2.062	540.333862
1033	2.064	540.599304
1034	2.066	540.597412
1035	2.068	539.807495
1036	2.07	539.806641
1037	2.072	540.325684
1038	2.074	539.281311
1039	2.076	540.330627
1040	2.078	539.283691
1041	2.08	540.335693
1042	2.082	539.284973
1043	2.084	540.052795
1044	2.086	540.061768
1045	2.088	540.31897
1046	2.09	539.014648
1047	2.092	539.796509
1048	2.094	539.791382
1049	2.096	539.277039
1050	2.098	538.490112
1051	2.1	539.532593
1052	2.102	540.054199
1053	2.104	539.522705
1054	2.106	539.778503
1055	2.108	540.040588
1056	2.11	540.038208
1057	2.112	540.040283
1058	2.114	539.783508
1059	2.116	541.065979
1060	2.118	540.280151
1061	2.12	540.021667
1062	2.122	540.280762
1063	2.124	539.749146
1064	2.126	538.976318
1065	2.128	539.239014
1066	2.13	538.978394
1067	2.132	539.489502
1068	2.134	539.232422
1069	2.136	539.744324
1070	2.138	539.991211
1071	2.14	539.733643
1072	2.142	539.21106
1073	2.144	540.771729
1074	2.146	539.988892
1075	2.148	540.500122
1076	2.15	540.750488
1077	2.152	540.226501
1078	2.154	540.751343
1079	2.156	539.176514
1080	2.158	539.682922
1081	2.16	539.162598
1082	2.162	539.15448
1083	2.164	538.633057
1084	2.166	539.144409
1085	2.168	538.868652
1086	2.17	539.114014
1087	2.172	538.596069
1088	2.174	537.808228
1089	2.176	538.065247
1090	2.178	537.520813
1091	2.18	536.731201
1092	2.182	536.973022
1093	2.184	536.447998
1094	2.186	536.174133
1095	2.188	534.856323
1096	2.19	533.799255
1097	2.192	533.01001
1098	2.194	531.93866
1099	2.196	531.921814
1100	2.198	530.864258
1101	2.2	530.329285
1102	2.202	529.523682
1103	2.204	528.979126
1104	2.206	528.951416
1105	2.208	527.377686
1106	2.21	526.82428
1107	2.212	526.795593
1108	2.214	524.686096
1109	2.216	525.187012
1110	2.218	524.889221
1111	2.22	523.819031
1112	2.222	523.005249
1113	2.224	524.006104
1114	2.226	522.672668
1115	2.228	521.598877
1116	2.23	521.302551
1117	2.232	520.212097
1118	2.234	518.358582
1119	2.236	517.022095
1120	2.238	514.907227
1121	2.24	513.835876
1122	2.242	511.456421
1123	2.244	509.85434
1124	2.246	506.44046
1125	2.248	504.837158
1126	2.25	501.946655
1127	2.252	498.53421
1128	2.254	494.605011
1129	2.256	492.751892
1130	2.258	488.824646
1131	2.26	484.890961
1132	2.262	479.917603
1133	2.264	474.4198
1134	2.266	469.722015
1135	2.268	464.48822
1136	2.27	460.042053
1137	2.272	454.568665
1138	2.274	448.829163
1139	2.276	442.039185
1140	2.278	435.78833
1141	2.28	429.006958
1142	2.282	423.023987
1143	2.284	415.468811
1144	2.286	410.009094
1145	2.288	403.507385
1146	2.29	396.755768
1147	2.292	390.002136
1148	2.294	382.993073
1149	2.296	375.202637
1150	2.298	366.373901
1151	2.3	359.377197
1152	2.302	350.815277
1153	2.304	341.983948
1154	2.306	333.697723
1155	2.308	324.374786
1156	2.31	315.825684
1157	2.312	306.779907
1158	2.314	297.438019
1159	2.316	287.345337
1160	2.318	278.541931
1161	2.32	268.98465
1162	2.322	261.246094
1163	2.324	252.199921
1164	2.326	243.676331
1165	2.328	234.371063
1166	2.33	226.886856
1167	2.332	219.152161
1168	2.334	212.191574
1169	2.336	203.936127
1170	2.338	197.766525
1171	2.34	191.575745
1172	2.342	186.424133
1173	2.344	180.75975
1174	2.346	176.396454
1175	2.348	171.760498
1176	2.35	168.153976
1177	2.352	165.315338
1178	2.354	163.782028
1179	2.356	162.755005
1180	2.358	160.692047
1181	2.36	161.489914
1182	2.362	160.719086
1183	2.364	159.941742
1184	2.366	159.173599
1185	2.368	159.429581
1186	2.37	159.680389
1187	2.372	160.442047
1188	2.374	161.461548
1189	2.376	163.271423
1190	2.378	165.576111
1191	2.38	168.148636
1192	2.382	169.929016
1193	2.384	172.502686
1194	2.386	175.321625
1195	2.388	178.921875
1196	2.39	181.214813
1197	2.392	184.290283
1198	2.394	185.035263
1199	2.396	187.34201
1200	2.398	188.879166
1201	2.4	190.412292
1202	2.402	190.143753
1203	2.404	190.646271
1204	2.406	190.379822
1205	2.408	191.154465
1206	2.41	190.64328
1207	2.412	190.647339
1208	2.414	190.655075
1209	2.416	189.642944
1210	2.418	190.980255
1211	2.42	189.169586
1212	2.422	189.716461
1213	2.424	188.711578
1214	2.426	189.264755
1215	2.428	189.53978
1216	2.43	190.630966
1217	2.432	191.954086
1218	2.434	193.043365
1219	2.436	194.376495
1220	2.438	196.220215
1221	2.44	198.329071
1222	2.442	201.992493
1223	2.444	204.882416
1224	2.446	209.320435
1225	2.448	215.312332
1226	2.45	222.366211
1227	2.452	229.400894
1228	2.454	236.956696
1229	2.456	245.025635
1230	2.458	253.360794
1231	2.46	262.462097
1232	2.462	271.824249
1233	2.464	281.442841
1234	2.466	291.312195
1235	2.468	301.200836
1236	2.47	311.084564
1237	2.472	321.23111
1238	2.474	331.107178
1239	2.476	341.254822
1240	2.478	352.196838
1241	2.48	362.602234
1242	2.482	373.275208
1243	2.484	384.20517
1244	2.486	396.177979
1245	2.488	407.120117
1246	2.49	417.527374
1247	2.492	429.781555
1248	2.494	439.678711
